id,deliverTime,distance,idshop,minDeliverFee,minFee,mtWmPoiId,name,shopOpenStatus,sold,star
248,40,0,73600420,4.0,0.0,1779689,肉夹小魔王（中关村店）,0,2736,49
249,58,0,69804351,30.0,0.0,1633531,哈哈镜（鸭货大全店）,0,173,46
250,33,0,36912008,5.0,15.0,501563,张亮麻辣烫（国奥店）,0,2362,44
251,75,0,90093489,0.0,0.0,2219548,法兰西蛋糕烘焙,0,142,48
252,40,0,66058752,0.0,0.0,911328,清碧源（景田专卖店）,0,10,0
253,76,0,69923290,35.0,150.0,1682163,昨昔雨参鸡汤,0,970,49
254,56,0,6030099,10.0,168.0,477410,可圈可点蛋糕店（千层榴莲）,0,39,50
255,39,0,18025909,3.0,35.0,12776,小家餐厅（六道口店）,0,729,46
256,30,0,13854188,4.0,20.0,1001604,首尔798,1,0,0
257,40,0,67974997,0.0,60.0,1344020,酒小二,1,16,0
258,34,0,73577263,3.0,0.0,1770883,健康口袋,1,0,0
259,56,0,67571798,19.0,48.0,1223892,营养鲜果庄园（明光村店）,1,0,0
260,60,0,90961283,0.0,0.0,2357481,一家花店（北京店）,1,0,0
261,36,0,76880565,7.0,0.0,1924135,奶茶嫁给粉,0,75,44
262,30,0,58678759,7.0,0.0,761055,赤桥麻辣签到,0,12,0
263,60,0,32672672,0.0,0.0,554404,千寻鲜花,0,10,0
264,130,0,69820706,4.0,29.0,1637665,果农的儿子,0,283,44
265,58,0,19565696,5.0,0.0,57025,裸奔披萨,0,2185,45
266,56,0,69436600,2.0,20.0,1550032,韩国炸鸡qiken,0,13,0
267,64,0,67764725,10.0,30.0,2233810,烘达兄弟（北大店）,0,136,47
268,83,0,77455195,0.0,0.0,2163389,37度cake蛋糕（小屯路店）,0,455,50
269,39,0,68117439,5.0,0.0,1526219,龙凤卷春饼,0,352,44
270,56,0,56637267,35.0,0.0,1239242,桐记小灶儿牛板筋火锅,0,25,50
271,40,0,73602669,4.0,0.0,1779518,金手勺（中关村店）,0,1108,48
272,30,0,18178519,6.0,20.0,1020977,纳斯卡咖啡（五道口）店,0,4,0
273,70,0,90335932,48.0,0.0,2253400,一品鲜果切,0,210,49
274,36,0,57485802,3.0,0.0,684525,百味套餐卤肉饭,0,13,0
275,60,0,75159991,0.0,0.0,1833819,花花坊,0,0,0
276,56,0,90026019,40.0,0.0,2198309,百鲜岛海鲜（京深海鲜总店）,0,8,0
277,60,0,66058505,0.0,0.0,911271,花朵美花艺旗舰店,0,19,50
278,56,0,79232988,65.0,50.0,1996878,彩虹水果批发,0,3,0
279,89,0,5490994,0.0,0.0,213106,艾尚蛋糕店,0,476,48
280,77,0,22581221,0.0,0.0,351728,25小时鲜花店（总部）,0,115,42
281,68,0,57024544,5.0,80.0,654922,麻辣村香锅烤鱼,0,333,47
282,38,0,39641424,9.0,0.0,12721,极速汉堡,0,5064,48
283,48,0,22030140,3.0,0.0,137195,晏家传奇中式快餐（六道口店）,1,1161,44
284,55,0,48067285,3.0,20.0,607466,回味拉面馆（清真）,1,3,0
285,36,0,69141020,4.0,20.0,1483953,中国兰州牛肉拉面（清真）,0,123,38
286,50,0,90459217,20.0,70.0,2253355,沙家辣鸭脖（立水桥店）,0,124,44
287,261,0,48008322,0.0,0.0,486106,好利来蛋糕（北京）,0,568,48
288,58,0,3685561,5.0,0.0,2227418,沙县小吃（中关村店）,0,59,36
289,98,0,8696918,15.0,0.0,2000453,Tasty Cake,0,48,45
290,55,0,76844925,7.0,0.0,1950941,海盗煎饼,0,2,0
291,56,0,90649507,6.0,20.0,2357434,乐味乐道千层蛋糕,0,16,0
292,40,0,66278375,0.0,0.0,911292,文华盛（怡宝专卖店）,0,10,0
293,60,0,48149556,0.0,0.0,661289,珍爱鲜花旗舰店,0,64,48
294,40,0,65726146,30.0,58.0,1131838,月亮街食品,0,10,0
295,120,0,79676035,28.0,200.0,2062940,北京五月韩国料理（参鸡汤店）,0,46,38
296,60,0,67868569,20.0,0.0,1313561,天意尚品鲜花,0,0,0
297,56,0,80990115,65.0,0.0,2097345,芬芳水果精品批发,0,10,0
298,51,0,90099086,5.0,30.0,2097350,品尚鲜卤肉饭,0,132,42
299,62,0,81868328,28.0,20.0,2227426,虾娃诱惑,0,87,50
300,41,0,24832961,3.0,0.0,684453,西安一品砂锅鸡公煲,0,455,44
301,60,0,65678120,0.0,80.0,862930,鑫美月鲜花店,0,1,0
302,42,0,41006931,6.0,16.0,443176,丽华快餐(圆明园),0,488,47
303,81,0,77281906,22.0,38.0,642337,闽鲜行挪威三文鱼,0,113,50
304,76,0,22005721,0.0,0.0,439474,小贤家榴莲蛋糕（亚运村店）,0,1005,48
305,40,0,68189055,10.0,0.0,1409209,CHEERS瑞品齐饮进口葡萄酒,0,41,48
306,60,0,27524412,5.0,80.0,2253336,照相鲜花,0,0,0
307,56,0,75114021,25.0,120.0,1829407,猫小院猫主题餐厅（外卖中心）,1,0,0
308,72,0,76934314,30.0,158.0,1942095,蚝鲜生烧烤海鲜夜宵,1,325,42
309,40,0,67316834,60.0,200.0,1149037,CHEERS进口葡萄酒专卖,1,0,0
310,78,0,90020157,35.0,200.0,2202546,夏小妹榴莲千层盒子,0,144,46
311,74,0,3867190,5.0,26.0,676399,老马富贵拉面（清真）,0,182,48
312,56,0,67959237,29.0,99.0,1338433,AJ麻辣海鲜订制,0,19,0
313,128,0,79313339,0.0,0.0,1946244,生日蛋糕糕点坊,0,230,48
314,56,0,76988484,69.0,50.0,1942454,果鲜世界,0,5,0
315,60,0,79676716,0.0,0.0,2063280,玖号鲜花,0,117,49
316,54,0,67409830,53.0,50.0,1699771,焙多芬手感烘焙工坊,0,284,46
317,56,0,76860207,30.0,58.0,1915664,优佳果品水果超市,0,5,0
318,96,0,79603001,30.0,168.0,2058933,寿司工匠,0,31,42
319,36,0,69141484,6.0,0.0,1484099,张姐烤肉饭脆皮鸡饭（苏州街店）,0,1623,48
320,56,0,6108750,0.0,0.0,906510,拉菲米亚蛋糕,0,23,0
321,56,0,77360185,0.0,0.0,1974037,缘心蛋糕坊（小营店）,0,6,0
322,56,0,67674928,0.0,0.0,871849,Hello office,0,24,0
323,55,0,69799996,6.0,20.0,1633702,烤鱼·羊蝎子火锅,0,5,0
324,60,0,79269249,0.0,0.0,2078430,欣玉花坊,0,4,0
325,94,0,66181473,0.0,0.0,929113,味美精品泰国榴莲蛋糕,0,756,47
326,55,0,90967019,7.0,29.0,2353231,西苑便民菜站,1,0,0
327,60,0,66471689,0.0,0.0,1061243,鲜花绿植鱼,1,2,0
328,79,0,58085443,19.0,128.0,78463,烧烤盛宴,1,554,46
329,56,0,58744072,19.0,118.0,521104,农夫果院水果超市（一分店）,1,0,0
330,42,0,4230795,5.0,0.0,1756064,潜渊(紫菜包饭),1,20,0
331,35,0,68184085,3.0,20.0,1404484,三嫂薄皮包子,1,0,0
332,84,0,59115286,3.0,15.0,785337,手工水饺,0,115,44
333,60,0,79275663,0.0,100.0,2004726,九州建华花卉,0,0,0
334,36,0,41287649,3.0,20.0,1937574,香味坊木桶饭,0,26,0
335,78,0,59002124,58.0,20.0,776663,老北京锅贴,0,350,44
336,56,0,90716399,10.0,0.0,2357544,龙虾阁（双安店）,0,13,0
337,34,0,17726841,3.0,15.0,347464,杨国福麻辣烫（五道口店）,0,1282,46
338,48,0,80989000,5.0,30.0,2097514,大妈水饺,0,258,41
339,70,0,67152499,35.0,0.0,1136044,麻辣海鲜,0,167,44
340,56,0,16998706,25.0,200.0,1395781,阳澄湖大闸蟹（光彩京深店）,0,4,0
341,60,0,69790418,0.0,100.0,2000859,诗情花坊,0,5,50
