shopid,shopname,lat,lng,cateid,catename
\N,稻香村（八家嘉园店）,\N,\N,101276,甜点饮品
\N,湘牛堂,\N,\N,101303,无辣不欢
\N,米字格新疆米粉（清华东路店）,\N,\N,101301,暖胃粉面
\N,mono cheese 摩诺芝士（五道口店）,\N,\N,101276,甜点饮品
\N,拼豆夜宵（定慧桥店）,\N,\N,101327,烧烤炸鸡
\N,陈立枣糕王（原五道口店）,\N,\N,101276,甜点饮品
\N,大学生烤串吧,\N,\N,101327,烧烤炸鸡
\N,立水桥海鲜市场鲜到家阳澄湖大闸蟹,\N,\N,101327,烧烤炸鸡
\N,花甜喜事鲜花婚庆（良乡店）,\N,\N,101346,鲜花蛋糕
\N,阿里烧烤私房菜,\N,\N,100321,异国料理
\N,1988Flower and coffee,\N,\N,101276,甜点饮品
\N,commune公社（五道口店）,\N,\N,101052,汉堡披萨
\N,拼豆夜宵（五棵松店）,\N,\N,101327,烧烤炸鸡
\N,拼豆夜宵（上地店）,\N,\N,101327,烧烤炸鸡
\N,拼豆夜宵,\N,\N,101327,烧烤炸鸡
\N,老冯烧烤城,\N,\N,101327,烧烤炸鸡
\N,望京小腰（中关村店）,\N,\N,101327,烧烤炸鸡
\N,烧烤驿站,\N,\N,101327,烧烤炸鸡
\N,醉湘楼,\N,\N,101303,无辣不欢
\N,陕北羊汤,\N,\N,101301,暖胃粉面
\N,洛可麦甜烘焙,\N,\N,101276,甜点饮品
\N,拼豆夜宵（清河店）,\N,\N,101327,烧烤炸鸡
\N,麦利红西饼屋,\N,\N,101276,甜点饮品
\N,私房虾,\N,\N,101327,烧烤炸鸡
\N,遇见烧烤（来点串吧）,\N,\N,101327,烧烤炸鸡
\N,爱的味道蛋糕（清河店）,\N,\N,101276,甜点饮品
\N,御贡贡茶（五道口店）,\N,\N,101276,甜点饮品
\N,甜心美思榴莲千层蛋糕,\N,\N,101276,甜点饮品
\N,咭唎咭唎（串烧）,\N,\N,101327,烧烤炸鸡
\N,嘉陵楼馋嘴城（簋街三店）,\N,\N,101327,烧烤炸鸡
\N,Queen’s 定制花朵,\N,\N,101346,鲜花蛋糕
\N,尚菲鲜花店,\N,\N,101346,鲜花蛋糕
\N,水果超市,\N,\N,100970,商超生鲜
\N,微国界,\N,\N,100970,商超生鲜
\N,欧阳串吧,\N,\N,101303,无辣不欢
\N,哈啾汉堡（清华店）,\N,\N,101052,汉堡披萨
\N,鲁宁大鸡排,\N,\N,101327,烧烤炸鸡
\N,金福达蛋糕,\N,\N,101276,甜点饮品
\N,伊诺鲜花馆北京二店,\N,\N,101346,鲜花蛋糕
\N,花开半夏鲜花店,\N,\N,101346,鲜花蛋糕
\N,八旗烤场,\N,\N,101327,烧烤炸鸡
\N,湘菜烤串,\N,\N,101327,烧烤炸鸡
\N,榴金岁月千层蛋糕芝士蛋糕（西直门店）,\N,\N,101276,甜点饮品
\N,魜美海味鲜,\N,\N,101327,烧烤炸鸡
\N,拼豆夜宵（亚运村店）,\N,\N,101327,烧烤炸鸡
\N,鲜果多（丰台店）,\N,\N,100970,商超生鲜
\N,诚信烧烤（知春路店）,\N,\N,101327,烧烤炸鸡
\N,果腿儿鲜果切,\N,\N,100970,商超生鲜
\N,有间虾铺,\N,\N,101327,烧烤炸鸡
\N,川湘味麻辣香锅,\N,\N,101303,无辣不欢
\N,田野语香（回龙观店）,\N,\N,101276,甜点饮品
\N,晚1点海鲜,\N,\N,101327,烧烤炸鸡
\N,都市烧烤（西三旗店）,\N,\N,101327,烧烤炸鸡
\N,泰式龙虾烧烤,\N,\N,101327,烧烤炸鸡
\N,丫米丫米创意蛋糕（西直门店）,\N,\N,101276,甜点饮品
\N,大学生烤串吧,\N,\N,101327,烧烤炸鸡
\N,喜乐挪威三文鱼,\N,\N,101327,烧烤炸鸡
\N,鲜花缘,\N,\N,101346,鲜花蛋糕
\N,果果来了鲜果切（西直门店）,\N,\N,100970,商超生鲜
\N,8度汉堡,\N,\N,101052,汉堡披萨
\N,金果果果蔬,\N,\N,100970,商超生鲜
\N,多美味蛋糕,\N,\N,101276,甜点饮品
\N,传厨台湾拔丝蛋糕（五道口店）,\N,\N,101276,甜点饮品
\N,山西刀削面,\N,\N,101301,暖胃粉面
\N,梦幻紫蛋糕店,\N,\N,101276,甜点饮品
\N,哇哦鲜果切,\N,\N,100970,商超生鲜
\N,沐百花卉店,\N,\N,101346,鲜花蛋糕
