origin,destination,count
67265281,48162367,23
67296986,66151745,14
67311683,14740147,14
67311683,83473328,9
67328901,2056255,12
67328901,2242231,9
67328901,2253889,9
67328901,3157528,22
67328901,4504628,12
67328901,511694,9
67328901,514404,18
67328901,5306282,10
67328901,57297262,10
67328901,57477733,9
67328901,65504764,14
67328901,67731529,13
67328901,68184085,9
67328901,69181394,10
67328901,69815615,9
67402727,27473357,9
67402727,51628524,9
67402727,67841285,20
67402727,72338357,16
67405206,13664014,18
67405206,59002124,9
67405206,69952286,15
67460383,5306282,12
67460383,58207001,10
67558962,32666263,12
67616965,17812756,21
67616965,18673674,14
67616965,21379842,13
67616965,2253889,10
67616965,22594842,9
67616965,2379367,11
67616965,2404162,11
67616965,2404204,19
67616965,25034529,13
67616965,40283174,10
67616965,4504628,18
67616965,516103,18
67616965,5306282,17
67616965,5436342,14
67616965,57297262,10
67616965,57477733,11
67616965,58207001,9
67616965,6040805,10
67616965,6112313,10
67616965,68164162,13
67616965,68184085,10
67616965,69510868,9
67616965,69815615,14
67616965,8988572,14
67616965,90063338,13
67620262,65969267,18
67630485,6112313,9
67630485,69510868,13
67630485,69843984,27
67630692,69088877,9
67731529,10330755,10
67731529,19107806,9
67731529,3157528,9
67731529,39641424,10
67731529,67328901,13
67731529,67790988,10
67731529,68184085,11
67731529,73391928,10
67731529,83473328,14
67790988,10330755,11
67790988,36912008,16
67790988,67174801,15
67790988,67255663,16
67790988,67731529,10
67790988,73622292,10
67798365,68066402,11
67804265,66737949,13
67832524,66109224,11
67841285,67402727,20
67841285,72338357,15
67846538,58977328,9
67846538,76753703,11
67868497,3668452,9
67868497,66038221,9
67989899,68993398,28
68062571,513712,18
68062571,72464334,22
68066402,67798365,11
68074685,23183794,9
68074685,25054648,9
68074685,26233438,13
68074685,59115286,9
68074685,65712689,9
68074685,66325573,10
68074685,66731457,11
68074685,67255663,15
68074685,68184085,10
68074685,90063338,10
68074685,90555213,11
68147168,58738754,12
68147168,69951580,10
68164162,17812756,14
