origin,destination,count
76850658,67551073,10
76850658,69890276,13
76850658,73619455,10
76850658,77276192,12
76850658,79446907,12
5137086,65649102,10
2774815,510278,15
2774815,511764,17
2774815,512237,13
2774815,512579,10
2774815,2477131,13
2774815,2490793,15
2774815,2678710,11
2774815,4189642,15
2774815,4547725,11
2774815,57394803,13
2774815,67124168,14
24880247,58940542,12
24306542,50381490,9
69061150,66058505,10
69664204,66381323,20
69664204,76758442,22
82313413,19611676,10
581201,23122494,10
581201,32403017,10
581201,58705395,9
581201,69557110,9
15130972,509084,10
15130972,2654032,10
15130972,2666680,18
15130972,3131344,12
15130972,3331159,9
15130972,3543058,9
15130972,5142838,9
15130972,5451108,9
15130972,5724122,16
15130972,8112884,9
15130972,8988699,9
15130972,9073131,10
15130972,16832750,9
15130972,23432121,10
15130972,45342618,11
15130972,48007968,10
15130972,58353947,11
15130972,59161660,10
15130972,68044920,11
15130972,72351328,11
15130972,73414401,12
15130972,79561132,12
45409775,6526138,12
45409775,25042206,10
45409775,43560701,11
45409775,74597694,9
75210102,67505346,9
75210102,76058810,10
67881470,68165945,9
67881470,69890276,9
3690208,511764,9
3690208,512579,9
3690208,2274049,16
3690208,2377600,9
3690208,3056221,16
3690208,7992674,13
3690208,8074790,9
3690208,16988545,9
3690208,23974878,17
3690208,27727752,10
3690208,32548156,9
3690208,58223978,13
3690208,59441452,9
75089511,7315094,14
75089511,19164707,10
75089511,24029703,13
75089511,66596956,11
75089511,76383406,9
66795047,66381323,11
66795047,67103759,9
66795047,76758442,9
66382952,15094130,9
66382952,70445917,13
66382952,79303794,9
66382952,79446907,14
66382952,90286597,14
66382952,90479638,9
17105567,69087747,10
22924191,69572326,9
23623253,6020566,10
23623253,65711655,9
67342298,8291516,9
67342298,22369667,9
514239,514849,27
514239,565067,13
514239,5453947,19
67405206,13664014,18
67405206,59002124,9
67405206,69952286,15
5579945,511634,9
5579945,513623,9
5579945,516112,11
5579945,585183,9
5579945,1895722,9
5579945,3367756,11
5579945,3469897,14
5579945,3490447,12
5579945,4198893,10
5579945,21959977,10
5579945,22376293,14
5579945,24528652,11
5579945,48328366,13
5579945,58041870,9
5579945,65559698,13
5579945,65715688,9
5579945,67903235,9
5579945,69203847,9
5579945,73396352,14
5579945,75090907,11
18280058,512579,9
18280058,1916689,10
18280058,2274049,12
18280058,2547121,9
18280058,2585788,10
18280058,3056221,15
18280058,7992674,12
18280058,12594495,16
18280058,16988545,21
18280058,20968030,10
18280058,21993091,10
18280058,23223824,14
18280058,27727752,12
18280058,48011181,9
18280058,58223978,19
18280058,67181914,10
18280058,69572326,10
48328366,5579945,13
66761025,67847402,43
66691091,66756747,19
22065487,51628524,18
32675811,13664014,12
32675811,69711945,18
59441452,511764,10
59441452,512237,12
59441452,1916689,11
59441452,2547121,9
59441452,2585788,9
59441452,3056221,10
59441452,3690208,9
59441452,67124168,27
2384914,73414401,9
2116402,2654032,13
2116402,2666680,9
16988545,510278,15
16988545,511764,9
16988545,512579,12
16988545,1916689,12
16988545,2274049,12
16988545,2398612,13
16988545,2490793,9
16988545,2585788,9
16988545,2678710,11
16988545,2749942,9
16988545,3056221,19
16988545,3304546,15
16988545,3556948,10
16988545,3690208,9
16988545,5397106,9
16988545,5616861,16
16988545,5621450,10
16988545,7992674,20
16988545,8074790,22
16988545,18280058,21
16988545,19122301,11
16988545,20968030,11
16988545,21949591,11
16988545,21993091,11
16988545,23223824,22
16988545,27727752,14
16988545,32548156,9
16988545,58223978,38
16988545,58738167,10
16988545,66340319,11
16988545,67181914,10
16988545,67420602,9
16988545,67647906,9
16988545,69557110,14
16988545,69572326,12
16988545,70426517,12
3469897,516112,9
3469897,3367756,15
3469897,3490447,9
3469897,5398630,17
3469897,5579945,14
3469897,15108946,13
3469897,58041870,11
3469897,67081580,12
3469897,67891919,9
3469897,73396352,10
3469897,73414401,9
